Domain,Area,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value
Producer Prices,Bulgaria,Producer Price (USD/tonne),1330,Grapes,2018,2018,7021,Annual value,USD,0.36
Producer Prices,Bulgaria,Producer Price (USD/tonne),1330,Grapes,2019,2019,7021,Annual value,USD,0.31
Producer Prices,Bulgaria,Producer Price (USD/tonne),1330,Grapes,2020,2020,7021,Annual value,USD,0.38
Producer Prices,Bulgaria,Producer Price (USD/tonne),1330,Grapes,2021,2021,7021,Annual value,USD,0.38
Producer Prices,Bulgaria,Producer Price (USD/tonne),1330,Grapes,2022,2022,7021,Annual value,USD,0.35
Producer Prices,Bulgaria,Producer Price (USD/tonne),1330,Grapes,2023,2023,7021,Annual value,USD,0.4
Producer Prices,Bulgaria,Producer Price (USD/tonne),1252,Green garlic,2018,2018,7021,Annual value,USD,2.02
Producer Prices,Bulgaria,Producer Price (USD/tonne),1252,Green garlic,2019,2019,7021,Annual value,USD,2.17
Producer Prices,Bulgaria,Producer Price (USD/tonne),1252,Green garlic,2020,2020,7021,Annual value,USD,2.6
Producer Prices,Bulgaria,Producer Price (USD/tonne),1252,Green garlic,2021,2021,7021,Annual value,USD,2.92
Producer Prices,Bulgaria,Producer Price (USD/tonne),1252,Green garlic,2022,2022,7021,Annual value,USD,2.33
Producer Prices,Bulgaria,Producer Price (USD/tonne),1252,Green garlic,2023,2023,7021,Annual value,USD,2.03
Producer Prices,Bulgaria,Producer Price (USD/tonne),142,"Groundnuts, excluding shelled",2018,2018,7021,Annual value,USD,2.22
Producer Prices,Bulgaria,Producer Price (USD/tonne),142,"Groundnuts, excluding shelled",2019,2019,7021,Annual value,USD,1.83
Producer Prices,Bulgaria,Producer Price (USD/tonne),142,"Groundnuts, excluding shelled",2020,2020,7021,Annual value,USD,1.38
Producer Prices,Bulgaria,Producer Price (USD/tonne),142,"Groundnuts, excluding shelled",2021,2021,7021,Annual value,USD,1.34
Producer Prices,Bulgaria,Producer Price (USD/tonne),142,"Groundnuts, excluding shelled",2022,2022,7021,Annual value,USD,1.88
Producer Prices,Bulgaria,Producer Price (USD/tonne),142,"Groundnuts, excluding shelled",2023,2023,7021,Annual value,USD,1.31
Producer Prices,Bulgaria,Producer Price (USD/tonne),231,"Hen eggs in shell, fresh",2018,2018,7021,Annual value,USD,1.53
Producer Prices,Bulgaria,Producer Price (USD/tonne),231,"Hen eggs in shell, fresh",2019,2019,7021,Annual value,USD,1.33
Producer Prices,Bulgaria,Producer Price (USD/tonne),231,"Hen eggs in shell, fresh",2020,2020,7021,Annual value,USD,1.22
Producer Prices,Bulgaria,Producer Price (USD/tonne),231,"Hen eggs in shell, fresh",2021,2021,7021,Annual value,USD,1.36
Producer Prices,Bulgaria,Producer Price (USD/tonne),231,"Hen eggs in shell, fresh",2022,2022,7021,Annual value,USD,1.95
Producer Prices,Bulgaria,Producer Price (USD/tonne),231,"Hen eggs in shell, fresh",2023,2023,7021,Annual value,USD,2.57
Producer Prices,Bulgaria,Producer Price (USD/tonne),1659,Hop cones,2018,2018,7021,Annual value,USD,8.07
Producer Prices,Bulgaria,Producer Price (USD/tonne),1659,Hop cones,2019,2019,7021,Annual value,USD,5.87
Producer Prices,Bulgaria,Producer Price (USD/tonne),1659,Hop cones,2020,2020,7021,Annual value,USD,5.97
Producer Prices,Bulgaria,Producer Price (USD/tonne),1659,Hop cones,2021,2021,7021,Annual value,USD,6.89
Producer Prices,Bulgaria,Producer Price (USD/tonne),1659,Hop cones,2022,2022,7021,Annual value,USD,8.17
Producer Prices,Bulgaria,Producer Price (USD/tonne),1659,Hop cones,2023,2023,7021,Annual value,USD,9.12
Producer Prices,Bulgaria,Producer Price (USD/tonne),1704,"Lentils, dry",2018,2018,7021,Annual value,USD,0.78
Producer Prices,Bulgaria,Producer Price (USD/tonne),1704,"Lentils, dry",2019,2019,7021,Annual value,USD,0.51
Producer Prices,Bulgaria,Producer Price (USD/tonne),1704,"Lentils, dry",2020,2020,7021,Annual value,USD,0.86
Producer Prices,Bulgaria,Producer Price (USD/tonne),1704,"Lentils, dry",2021,2021,7021,Annual value,USD,1.09
Producer Prices,Bulgaria,Producer Price (USD/tonne),1704,"Lentils, dry",2022,2022,7021,Annual value,USD,1.18
Producer Prices,Bulgaria,Producer Price (USD/tonne),1704,"Lentils, dry",2023,2023,7021,Annual value,USD,1.07
Producer Prices,Bulgaria,Producer Price (USD/tonne),112,Maize (corn),2018,2018,7021,Annual value,USD,0.17
Producer Prices,Bulgaria,Producer Price (USD/tonne),112,Maize (corn),2019,2019,7021,Annual value,USD,0.16
Producer Prices,Bulgaria,Producer Price (USD/tonne),112,Maize (corn),2020,2020,7021,Annual value,USD,0.18
Producer Prices,Bulgaria,Producer Price (USD/tonne),112,Maize (corn),2021,2021,7021,Annual value,USD,0.24
Producer Prices,Bulgaria,Producer Price (USD/tonne),112,Maize (corn),2022,2022,7021,Annual value,USD,0.3
Producer Prices,Bulgaria,Producer Price (USD/tonne),112,Maize (corn),2023,2023,7021,Annual value,USD,0.23
Producer Prices,Bulgaria,Producer Price (USD/tonne),21112b,"Meat of buffalo, fresh or chilled (biological)",2018,2018,7021,Annual value,USD,1.26
Producer Prices,Bulgaria,Producer Price (USD/tonne),21112b,"Meat of buffalo, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1.42
Producer Prices,Bulgaria,Producer Price (USD/tonne),21112b,"Meat of buffalo, fresh or chilled (biological)",2020,2020,7021,Annual value,USD,1.69
Producer Prices,Bulgaria,Producer Price (USD/tonne),21112b,"Meat of buffalo, fresh or chilled (biological)",2021,2021,7021,Annual value,USD,1.16
Producer Prices,Bulgaria,Producer Price (USD/tonne),21112b,"Meat of buffalo, fresh or chilled (biological)",2022,2022,7021,Annual value,USD,0.99
Producer Prices,Bulgaria,Producer Price (USD/tonne),21112b,"Meat of buffalo, fresh or chilled (biological)",2023,2023,7021,Annual value,USD,2.16
Producer Prices,Bulgaria,Producer Price (USD/tonne),21111.01b,"Meat of cattle with the bone, fresh or chilled (biological)",2018,2018,7021,Annual value,USD,1.48
Producer Prices,Bulgaria,Producer Price (USD/tonne),21111.01b,"Meat of cattle with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1.68
Producer Prices,Bulgaria,Producer Price (USD/tonne),21111.01b,"Meat of cattle with the bone, fresh or chilled (biological)",2020,2020,7021,Annual value,USD,1.73
Producer Prices,Bulgaria,Producer Price (USD/tonne),21111.01b,"Meat of cattle with the bone, fresh or chilled (biological)",2021,2021,7021,Annual value,USD,1.9
Producer Prices,Bulgaria,Producer Price (USD/tonne),21111.01b,"Meat of cattle with the bone, fresh or chilled (biological)",2022,2022,7021,Annual value,USD,1.96
Producer Prices,Bulgaria,Producer Price (USD/tonne),21111.01b,"Meat of cattle with the bone, fresh or chilled (biological)",2023,2023,7021,Annual value,USD,2.33
